,name,version,ratings,description
0,Getmale Gay Dating,1.3.4,0.0,"The Gay dating app! 

Getmale will (perhaps?) help you achieve your dreams and spend some great time 

- Communicate with our members through a personal private message system ... 
- ... get real time notifications when people visit your profile, send you a message or flash on your picture ... 
- ... sort, filter and pick the profiles you are interested in with advanced search functions ... 
- ... get to know them deeply: personality, interests, hobbies ... 
- ... and have an awesome time with other men!



--------------- 



This application is free to download and to use. You can also sign up for a pack of additional features (optional)

Terms of subscription to the services

* Payment will be made through your iTunes account after your purchase confirmation 
* You can subscribe for periods of 1, 3 or 6 months or 1 week. The subscription will be renewed automatically until you deactivate it at least 24 hours before the end of the on-going period 
* You can handle your subscription and deactivate the renewal through your account options 
* Once your subscription has been started you can not cancel it
* Any unused period during the free trial, if offered, will be lost if you subscribe to this service 
* All personal information will be treated as stated in the Privacy Policy of Getmale. For more information, please refer to <a href=""http://getmale.com/conditions.php"" target=""_blank"">getmale.com/conditions.php</a><script id=""metamorph-56-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-57-start"" type=""text/x-placeholder""></script>
  <div id=""ember1537"" class=""ember-view""><script id=""metamorph-58-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-58-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-59-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-60-start"" type=""text/x-placeholder""></script>What's New in Version 1.3.4<script id=""metamorph-60-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-59-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-61-start"" type=""text/x-placeholder""></script>Improved messaging and bug fixes<script id=""metamorph-61-end"" type=""text/x-placeholder""></script></div>
"
1,Daddyhunt: Fun Gay Dating,3.9.8,13.0,"Daddyhunt: It’s a Lifestyle!

Daddyhunt is the largest online gay community in the world specifically for older men and their admirers. Whether you’re a Daddy or an admirer who loves a little salt &amp; pepper, Daddyhunt is the app for you.

Today’s Daddy is educated, successful and technologically savvy. He’s a man on the move with places to go and people to see. The modern Daddy is confident, sophisticated and leads a vibrant and healthy life.

Daddyhunt is about Daddies, pure and simple! With Daddyhunt, meeting sexy Daddies and their admirers is easy! The DADDIES that you like and their admirers are HERE.

REAL MEN, NO ATTITUDE: Find the exact Daddy or Hunter of your dreams. View, match and chat with guys in your neighborhood or around the world. We make gay dating simple and easy. You’ll see how easy it is to find men you want to meet.

Introduce yourself to the Daddyhunt community with multiple profile pics, detailed profiles, private albums and more.

Show guys what you’re into with your profile details like sex preferences and safer-sex practices.

Daddyhunt: It’s your choice, make it today!

FEATURES:
 • Daddyhunt is gay dating at its easiest - finding you fun, sexy Daddies and Daddy-lovers in your area and around the world!
 • Quick and simple search for gay men. Enjoy numerous dating search options and filters to find exactly what you’re looking for!
 • Safe and confidential chat - send your best photos and videos in private chat.
 •&nbsp;Upload and share a photo from social network sites like Facebook publicly and privately.

If you choose to upgrade to PREMIUM Membership, you’ll enjoy extra features like viewing unlimited profiles to find more dates and better matches!

PREMIUM MEMBER FEATURES:
 • VISITORS - See men who visited your profile.
 • MORE MEN - See more men on the profile grids.
 •&nbsp;EASILY SHARE MEDIA - Quickly send recent photos and videos.
 •&nbsp;UNSEND - Undo sent messages, photos and videos.
 • SEARCH BY LOCATION - Change your location and view profiles in specific cities or countries.
 • INVISIBLE MODE - Browse photos and profiles anonymously.
 • HIDE YOUR AGE AND DISTANCE - Keep your age and distance a secret from others.
 • ADVANCED FILTERS - Narrow your search to exact body build and more to find your perfect match.
 •&nbsp;SAVE SEARCHES - Save your frequently used searches to easily find new guys that match your criteria.
 • NOTES - Saves a favorite’s phone number or other details on their profiles.
 • AD-FREE BROWSING - Browse profiles without any ads.

We offer 1 month, 3 month and annual subscriptions starting from $9.99/month. Your subscription automatically renews unless auto-renew is turned off at least 24-hours prior to the end of the current period.

The Daddyhunt gay dating app brings over 15 years of experience to the table in fostering a community of respect. Whether or not you identify as a Daddy or not, you never need to lie about your age (or anything else) to meet other men. The Daddyhunt community and its members value authentic, natural men over men who are fake in any way. Be who you are.

Daddyhunt is also the only gay dating app that allows members to sign a code of mutual respect. Ours is a friendly community that doesn’t tolerate any kind of shade, in any shape or form. EXPERIENCE MATTERS and it shows on Daddyhunt.

Download the free Daddyhunt App TODAY and join a community that connects sexy, secure and confident Daddies, bears, silver-Daddies and more to the men they want to meet.

DADDYHUNT is for men 18 years and older.

Daddyhunt Terms of Use: <a href=""https://www.daddyhuntapp.com/terms"" target=""_blank"">daddyhuntapp.com/terms</a>
Daddyhunt Privacy Policy: <a href=""https://www.daddyhunt.app.com/privacy-policy"" target=""_blank"">daddyhunt.app.com/privacy-policy</a><script id=""metamorph-57-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-58-start"" type=""text/x-placeholder""></script>
  <div id=""ember1537"" class=""ember-view""><script id=""metamorph-59-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-59-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-60-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-61-start"" type=""text/x-placeholder""></script>What's New in Version 3.9.8<script id=""metamorph-61-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-60-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-62-start"" type=""text/x-placeholder""></script>Continual UI/UX Upgrades
Stability Upgrades<script id=""metamorph-62-end"" type=""text/x-placeholder""></script></div>
"
2,Adam4Adam Gay Dating Chat A4A,"9,7",4.0,"With 15 years in the dating industry, 10 million users, and being 100% FREE, it’s no wonder that Adam4dam Radar is the industry-leading gay social network. Whether you’re looking for a date, chat, friends, long term relationships, networking opportunities or casual fun, you’ll find it on Adam4Adam Radar. We’ve been part of our users’ lives for so long that they’ve even given us a nickname — A4A. What other app can say the same?

Browse. Chat. Meet. It is easy to meet guys on Adam4Adam and we redesigned our app to make it even better, faster, and easier to use. We’re the only app offering a full, FREE experience with tons of features that other apps charge for.

- Browse unlimited profiles in five different grids based on your location
- Browse users in other cities if you plan to travel
- View all users or only users that are online
- Use over 20 filters—age, body type, preferences, etc.—to find what you’re looking for
- Send unlimited photos within a conversation  
- Send and receive unlimited messages 
- Send saved phrases to speed things up
- Add users to your favorites and block others
- See who favorited you
- Send your location within a conversation
- Make the first move and send a smile to users that you appreciate
- Customize your profile to represent who you are
- Connect your social media with your profile
- Upload multiple photos in your profile
- Drag and drop your photos to sort them
- Hide your last visit to a profile
- Track who visited your profile
- Show your travel plans with the Plan-a-Trip feature

Adam4Adam is free to download and use. However, we also offer a VIP membership subcription valid for 7 days, 30 days, 90 days, 180 days or 1 year that offers these extra features:

- Turn off publicity
- Browse discreetly using the invisible mode
- Get listed in the Featured Members grid
- Keep unlimited conversation history
- Save up to 200 conversations
- Upload more photos in your profile
- Get unlimited favorites and blocks
- Get priority support and skip ahead of the queue

If you choose to purchase Adam4Adam VIP, payment will be charged to your iTunes account, and your account will be charged for renewal within 24-hours prior to the end of the current period at the same price. Subscriptions may be managed by the you at any time and auto-renewal may be turned off by going to the your iTunes account settings after purchase. Current Adam4Adam VIP subscription price starts at $4.00 USD/week ($9.99USD/Month, $24.99/3Months, $44.99/6Months, $77.99/1Year). Prices are in U.S. dollars, may vary in countries other than the U.S. and are subject to change without notice. No cancellation of the current subscription is allowed during the active subscription period.

You must be 18 years and older to use Adam4Adam Radar. Photos depicting nudity are strictly prohibited in the RADAR native app.

<a href=""https://a4anetwork.com/useragreement.html"" target=""_blank"">a4anetwork.com/useragreement.html</a>
<a href=""https://a4anetwork.com/privacy.html"" target=""_blank"">a4anetwork.com/privacy.html</a><script id=""metamorph-59-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-60-start"" type=""text/x-placeholder""></script>
  <div id=""ember1551"" class=""ember-view""><script id=""metamorph-61-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-61-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-62-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-63-start"" type=""text/x-placeholder""></script>What's New in Version 9,7<script id=""metamorph-63-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-62-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-64-start"" type=""text/x-placeholder""></script>We're listening to your feedback and update regularly our App! 
This version includes several bug fixes and stability improvements.<script id=""metamorph-64-end"" type=""text/x-placeholder""></script></div>
"
3,Qutie - LGBT Dating,5.53,0.0,"Qutie is the dating and social networking app for the entire LGBTQ community. 

*Unlike other apps, LGBTQutie specifically is inclusive of Lesbian, Gay, Bisexual, Transgender, Pansexual, Asexual, Queer, Non-binary and Intersex Individuals. 
Connect with others in a substantial way to find relationships, friendships and meaningful connections.

*Qutie is the go-to hub to meet new people, create and attend events, see the latest news, blogs, and much more. 

*The app is completely free to use. For an even more enhanced experience, upgrade to Rainbow Membership.

*Qutie is more than online dating... its a community!
We offer three types of subscriptions when upgrading from Free to Rainbow:

1) 1 month subscription
2) 3 month subscription
3) 6 month subscription


Auto-renewal subscription
- Payment will be charged to iTunes Account at confirmation of purchase
- Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
- Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal
- Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase
– Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable
- No cancellation of the current subscription is allowed during active subscription period

Links to the privacy policy and terms of use:
<a href=""https://qutieapp.com/view/privacy/"" target=""_blank"">qutieapp.com/view/privacy</a>
<a href=""https://qutieapp.com/view/terms/"" target=""_blank"">qutieapp.com/view/terms</a><script id=""metamorph-49-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-50-start"" type=""text/x-placeholder""></script>
  <div id=""ember1533"" class=""ember-view""><script id=""metamorph-51-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-51-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-52-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-53-start"" type=""text/x-placeholder""></script>What's New in Version 5.53<script id=""metamorph-53-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-52-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>- Bug fixes and  performance enhancement<script id=""metamorph-54-end"" type=""text/x-placeholder""></script></div>
"
4,LGBT Dating Seeking: BiOpen,1.4.8,0.0,"Welcome to BiOpen - USA! 
Club for bisexual, queer, curious and open-minded people :)
 
WHAT WE’VE GOT HERE
@ Easy to use app for meeting new bi &amp; gay friends
Wanna chat? Hang out? Find true love? Write a bad romance? ;) 
Anything could happen in welcoming and super friendly BiOpen world. 

@ Dating spot welcoming any identity
Wanna declare yourself? Don’t want any labels at all? Anything will work!

@ A perfect way to share your core values and ideas
Our grounds - that’s what brings us together. And there’s match for everyone!

@ Multifaceted worldwide clique of bi &amp; queer people
So many beautiful and mystifying faces around. Start your quest!

@ Local dates and funny online games
We aim to bring you more fun stuff &amp; activities. Follow our updates.
 
OUR MISSION
- We support you and your own way of expression. That’s that.

OUR KEY FEATURES
* Beautiful feed of nearby faces
* Private chats for warm talks and relaxed flirting
* Profile based on your values. Access to worldwide bi community
* A little bit of magic for more fun<script id=""metamorph-50-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-51-start"" type=""text/x-placeholder""></script>
  <div id=""ember1547"" class=""ember-view""><script id=""metamorph-52-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-52-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-53-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>What's New in Version 1.4.8<script id=""metamorph-54-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-53-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-55-start"" type=""text/x-placeholder""></script>Hello, friends! It's time to admit that some crowns don’t make us look better. We are glad that the hard times are over. It was not easy for us either, and you probably noticed how long we have not released new updates. But we shall overcome! In isolation, we not only drank beer and sobbed over TV shows, but also have made a whole bunch of new stuff. 

- ¡Bienvenidos! dear Spaniards, we see your passion for BiOpen. We’ve added your magnificent language of love and poetry to our app.
- Bonjour à vous aussi, français. You know a lot about love and passion and we hope you enjoy the app!
- こんにちは日本人！You are still a mystery to us, but this only fuels the desire to get to know each other better.

AND:
- History of your likes. Yes, it’s finally there!
- Your notifications are now sorted by their type
- Improved navigation 
- Special design for premium user profiles
- Some short hints to help you use the app

We understand all the difficulties that quarantine brought us. We discussed the situation and reduced prices as best we could and added a 3-month subscription. Yes, this is not much, but we want all of us to return to communication, physical contact, and feel intimacy as soon as possible!

Thanx for reading this. Next time we'll give you a novel ;)<script id=""metamorph-55-end"" type=""text/x-placeholder""></script></div>
"
5,MEOW Gay Boys &amp; Guys Gay Apps,5.0,0.0,"“MEOW just became the sexually frustrated homebound chat app of choice” - OUT! 

Brazil Gay App Of The Year 2020.   - ZDNet Brazil

“Cruise the world”  - Pink News

Meow is the world’s #1 FREE mobile dating app for gay, bi, trans, and queer people to connect. Join the global MEOW community and connect with a whole new world using  MEOW VIDEO and MESSAGING. 

CRUISE THE WORLD
Connect with anyone, anywhere! 

-No Location Barriers.
-No GEO Blocking.
-No Limits.

MEOW™ WE'RE EASY
Creating new connections has never been faster and easier.

◾ Browse photos and videos of guys near and far.
◾ Like as many people as you want before matching.
◾ Like Back and start Messaging and Video-chatting with your Matches.
◾ Share as many photos and videos you want with the world  using MEOW™ CLIPS,  our 10 second video loop platform. 

Looking for even more? Upgrade to MEOW Unlimited  for more features, freedom, and fun. MEOW Unlimited  features include:

◾ Anonymous users can now Like anyone they want, including verified members 
◾ Message anyone you Like and increase your chances of matching by more than 80%

-Get The Ultimate Meow Experience-
Upgrade to Meow Unlimited for exclusive access to our most premium features. Get Unlimited with one of the following one off purchases or auto-renewing plans:

-Buy 1 (One off purchase)
-3 month subscription  
-6 month subscription 

Meow Subscriptions:

Your subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Your iTunes account will automatically be charged at the same price for renewal within 24 hours prior to the end of the current period unless you change your subscription preferences in your App Store account settings. You can manage your subscriptions at any time through your App Store account settings after purchase. Any unused portion of a free trial period will be forfeited when making a purchase of an auto-renewing subscription.<script id=""metamorph-50-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-51-start"" type=""text/x-placeholder""></script>
  <div id=""ember1540"" class=""ember-view""><script id=""metamorph-52-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-52-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-53-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>What's New in Version 5.0<script id=""metamorph-54-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-53-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-55-start"" type=""text/x-placeholder""></script>We’ve improved the app to make it even better: less bugs, more connection.<script id=""metamorph-55-end"" type=""text/x-placeholder""></script></div>
"
6,MUSLapp Gay dating &amp; socialapp,3.0.3,0.0,"A new type of App for the way you always wanted a gay app to work.  
With MUSL you have up to 3 different profiles-each in their own community. 
- Friend-find new buddies; 
- Flirt-find a new date; 
- Fun-find a new play partner.  
Once you connect with a member your other profiles are automatically blocked form him. In doing so, you get to decide what and when you share more of yourself with that person.  

MUSL’s mission is to create a more trusted, well-lit social app experience.  Since your profile is seen by guys looking for the same type of relationship you no longer have to waste your time weeding through profiles trying to find guys looking for the same type of connection/ relationship.  And when your mood changes, you can easily switch between your hookup or FUN profile to your FRIEND profile with a simple swipe.

Key Features
-	Connect with guys who are looking for the same type of relationship as you
-	When enabled, automatically shifts your location when you are at work
-	Connect your profile with your significant other
-	Profile, message and picture counters
-	Search by hashtags
-	Four private photos
-	Dogears on all profiles you have already looked at
-	Search outside of your area

HOW MUSL WORKS &amp; HOW IT IS DIFFERENT:
-	CREATE YOUR FIRST PROFILE
After downloading you create one, two or all three profiles
You don’t have to have all three profiles-so if you are only looking for new friends, you just complete your Friend profile
-	CONTROL WHO SEES YOUR OTHER PROFILES
After you send a message or a FLEX to another member your other profiles are blocked from him
That way you decide when the time is right to introduce him to your “other” sides
Want to give him full access?  Not a problem, enable your other profiles by a simple tap
-	JOINT PROFILES MAKE GROUP CHAT EASY
You and your significant other can connect your profiles.  
You both get your own profiles, but when chatting with a guy, you can easily bring your partner into the chat.  Then you can remove your partner when you are ready.
- BUILT FOR HOW WE ALWAYS WANTED AN APP TO WORK
Quickly respond to many messages without going into his profile
Track how long you are on the app via a timer
Search and find guys from all over the world
- YOU ARE A MODERATOR
When you noticed a profile in the wrong universe you can easily report the member so we can help him to ensure he uses MUSL to find the right type of connection.<script id=""metamorph-50-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-51-start"" type=""text/x-placeholder""></script>
  <div id=""ember1540"" class=""ember-view""><script id=""metamorph-52-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-52-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-53-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>What's New in Version 3.0.3<script id=""metamorph-54-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-53-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-55-start"" type=""text/x-placeholder""></script>-Faster images loading<script id=""metamorph-55-end"" type=""text/x-placeholder""></script></div>
"
7,Dating &amp; Chat For Threesome,1.2.55,0.0,"Threesome is a fun threesome dating app, you are supposed to find your ideal partners for FMF threesomes, MFM threesomes, swingers, swapping wife or wife sharing.

Whether you are a gay, lesbian, bisexual, pansexual, queer or transgender, Threesome will be your best choice.

With the Threesome APP you can:

System Messages: Recommend the closest bisexual singles and couples. 

Feed: Members share your contact information,Share pictures and dating information, record every wonderful moment

Photo Verification: we make sure the people you date with look like their profile photos.

Unlimited Messages: Send messages to anyone you want.

Get more matches: Get unlimited likes and increase your mathches.

Special notice for using Threesome:

Privacy:<a href=""http://www.3rdcome.com/web/circle/Privicy"" target=""_blank"">3rdcome.com/web/circle/Privicy</a>

Terms: <a href=""http://www.3rdcome.com/web/circle/termsofuser"" target=""_blank"">3rdcome.com/web/circle/termsofuser</a>

You must be at least 18 years of age to sign up and use Threesome.

Support: <a href=""mailto:courgette2080@gmail.com"" target=""_blank"">courgette2080@gmail.com</a><script id=""metamorph-50-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-51-start"" type=""text/x-placeholder""></script>
  <div id=""ember1547"" class=""ember-view""><script id=""metamorph-52-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-52-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-53-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>What's New in Version 1.2.55<script id=""metamorph-54-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-53-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-55-start"" type=""text/x-placeholder""></script>1.Fixed bug.<script id=""metamorph-55-end"" type=""text/x-placeholder""></script></div>
"
8,Rumpur: Gay Dating,2.16,0.0,"Rumpur is the hottest Queer dating app for Black, Latino &amp; Asian gay men &amp; the guys who love
them. Whether you’re looking for love, a chat or a casual hookup, Rumpur makes it easy to find
hot, queer single men in your area.

Creating your Rumpur profile only takes a minute. Let other users know what makes you special,
what you love to do and what you’re looking for in a match.

Once you’ve created your profile, it’s time to start looking for a match! Use filters to narrow down
the search results to find the perfect gay man for you. Swipe left and right to cycle through the
matches and see what kind of guy you’d like to chat to! Once you’ve matched with another user,
you can share photos, chat and video chat from within the app. Who knows – maybe it’ll lead to
love!

---------------------------------------------------------------
Why find your perfect match with Rumpur?
---------------------------------------------------------------

▸ Interracial dating app – Black, Latino, Asian, Transgender, Bi, and Queer people.
▸ GBTQ dating - find gay, bisexual, transgender &amp; queer men
▸ Upload multiple pictures to your profile
▸ Connect with other queer men via chat &amp; video chat
▸ Share photos &amp; videos with other singles
▸ Rumpur is a free queer &amp; gay dating app
▸ Report profiles easily, discreetly &amp; safely
▸ A safe, social environment to meet single men
What are you waiting for? Your perfect match is out there – download Rumpur now to find him!<script id=""metamorph-50-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-51-start"" type=""text/x-placeholder""></script>
  <div id=""ember1540"" class=""ember-view""><script id=""metamorph-52-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-52-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-53-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>What's New in Version 2.16<script id=""metamorph-54-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-53-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-55-start"" type=""text/x-placeholder""></script>Bugs and improvement.<script id=""metamorph-55-end"" type=""text/x-placeholder""></script></div>
"
9,Gay dating &amp; chat app | Notabu,2.0,0.0,"Notabu is a community of free people. Find a new friend or couple right on the map around you.

No expectations of matches.  Look through the map, write, meet!  Or post and wait for invitations from the guys next to you.

Only one post can be placed on a map.  Always fresh and relevant information only from those who are looking for dating.

Did you like someone?  Subscribe to his story and track publications or immediately write a personal message.  Choose the most comfortable option for communication.  No conventions and restrictions.

Allow yourself to be yourself!  Realize your desires with Notabu!

--------------------------------

The app is free to download and use.  We also offer an optional Notabu VIP subscription.

• Currently, the cost of a Notabu VIP subscription is $4.99 per month.  Prices are in US Dollars, may vary depending on the country of your residence and change without notice.

• If you decide to buy a Notabu VIP, you can do this through your iTunes account.
• Payment will be charged to your iTunes account after you confirm the purchase.
• Your subscription renews automatically until you disconnect it at least 24 hours before the expiration of the current subscription
• Payment for renewal will be charged to your account within 24 hours before the end of the current subscription
• You can turn off the automatic renewal of your “Notabu VIP” subscription in the iTunes Store settings at any time after purchase.
• Cancellation of the current subscription, during the period of its validity, is not possible.

• If you decide not to buy Notabu VIP, you can continue to use Notabu for free, but with limited functionality.

All personal data is stored in accordance with the Notabu Privacy Policy and Terms of Use.

Terms of Use: <a href=""https://www.notabu.app/terms"" target=""_blank"">notabu.app/terms</a>
Privacy Policy: <a href=""https://www.notabu.app/privacy"" target=""_blank"">notabu.app/privacy</a><script id=""metamorph-52-end"" type=""text/x-placeholder""></script></div>
  </div>
</div>
</div>

<script id=""metamorph-53-start"" type=""text/x-placeholder""></script>
  <div id=""ember1554"" class=""ember-view""><script id=""metamorph-54-start"" type=""text/x-placeholder""></script>
  <hr class=""page-divider"">
<script id=""metamorph-54-end"" type=""text/x-placeholder""></script>
<div class=""row"">
  <div class=""col-xs-12"">
    <script id=""metamorph-55-start"" type=""text/x-placeholder""></script>
      <h3><script id=""metamorph-56-start"" type=""text/x-placeholder""></script>What's New in Version 2.0<script id=""metamorph-56-end"" type=""text/x-placeholder""></script></h3>
    <script id=""metamorph-55-end"" type=""text/x-placeholder""></script>
    <div class=""preformatted-text""><script id=""metamorph-57-start"" type=""text/x-placeholder""></script>Hi guys! Did you miss us? :)
Meet the new version 2.0
+ updated design
+ new opportunities for dating
+ updated user profile
+ new settings control center
+ new features for Premium accounts
Tired of listing all the innovations :)
Friends, update and enjoy! We love you!<script id=""metamorph-57-end"" type=""text/x-placeholder""></script></div>
"
